,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Num,Magnitude,Magnitude Obs Code,Obs Code Agreement,Diagonal Residual
38,1/13/2022,2022-A171,654,0.2,0.1,13,20.9,654,True,0.223606797749979
39,1/13/2022,2022-A171,654,0.1,0.2,14,20.9,654,True,0.223606797749979
40,1/13/2022,2022-A171,654,0.3,0.3,15,18.4,654,True,0.4242640687119285
41,1/13/2022,2022-A171,654,1.8,1.0,16,18.4,654,True,2.0591260281974
42,1/13/2022,2022-A171,568,0.0,0.0,17,20.64,568,True,0.0
43,1/13/2022,2022-A171,568,0.0,0.0,19,20.55,568,True,0.0
44,1/13/2022,2022-A171,I93,0.1,0.2,20,20.5,I93,True,0.223606797749979
45,1/13/2022,2022-A171,I93,0.7,1.0,21,19.9,I93,True,1.2206555615733703
46,1/13/2022,2022-A171,L01,0.3,0.0,22,20.2,L01,True,0.3
47,1/13/2022,2022-A171,L01,0.5,0.1,23,21.3,L01,True,0.5099019513592785
48,1/13/2022,2022-A171,858,0.2,0.5,24,20.3,858,True,0.5385164807134505
49,1/13/2022,2022-A171,858,0.3,0.6,25,20.3,858,True,0.6708203932499369
50,1/13/2022,2022-A171,858,0.1,0.3,26,20.4,858,True,0.31622776601683794
51,1/13/2022,2022-A173,G96,0.2,0.0,1,20.9,G96,True,0.2
52,1/13/2022,2022-A173,G96,0.2,0.2,2,20.4,G96,True,0.28284271247461906
53,1/13/2022,2022-A173,G96,0.3,0.6,3,,G96,True,0.6708203932499369
54,1/13/2022,2022-A173,G96,0.1,0.1,4,20.7,G96,True,0.14142135623730953
55,1/13/2022,2022-A173,I52,0.4,0.0,5,,I52,True,0.4
56,1/13/2022,2022-A173,I52,0.1,0.1,6,,I52,True,0.14142135623730953
57,1/13/2022,2022-A173,I52,0.0,0.2,7,21.0,I52,True,0.2
58,1/13/2022,2022-A173,G96,0.3,0.1,8,20.7,G96,True,0.31622776601683794
59,1/13/2022,2022-A173,G96,0.2,0.3,9,20.8,G96,True,0.36055512754639896
60,1/13/2022,2022-A173,G96,0.1,0.2,10,20.6,G96,True,0.223606797749979
61,1/13/2022,2022-A173,G96,0.3,0.3,11,20.7,G96,True,0.4242640687119285
62,1/13/2022,2022-A173,654,0.0,0.1,12,20.6,654,True,0.1
63,1/13/2022,2022-A173,654,0.1,0.1,13,20.6,654,True,0.14142135623730953
64,1/13/2022,2022-A173,654,0.0,0.1,14,21.1,654,True,0.1
65,1/13/2022,2022-A173,654,0.2,0.1,15,21.1,654,True,0.223606797749979
66,1/13/2022,2022-A173,L06,0.7,0.0,16,21.0,L06,True,0.7
67,1/13/2022,2022-A173,L06,0.7,0.6,17,20.8,L06,True,0.9219544457292886
68,1/13/2022,2022-A173,858,0.1,0.3,18,21.0,858,True,0.31622776601683794
69,1/13/2022,2022-A173,858,0.6,0.7,19,21.1,858,True,0.9219544457292886
70,1/13/2022,2022-A173,858,0.9,0.1,20,21.2,858,True,0.9055385138137417
71,1/21/2022,2022-B09 ,T08,0.3,0.7,1,18.3,T08,True,0.7615773105863908
72,1/21/2022,2022-B09 ,T08,0.7,1.3,2,18.4,T08,True,1.47648230602334
73,1/21/2022,2022-B09 ,T08,0.5,0.4,3,18.6,T08,True,0.6403124237432849
74,1/21/2022,2022-B09 ,T08,0.2,0.5,4,18.5,T08,True,0.5385164807134505
75,1/21/2022,2022-B09 ,G02,0.0,0.1,5,18.7,G02,True,0.1
76,1/21/2022,2022-B09 ,G02,0.2,0.1,6,18.4,G02,True,0.223606797749979
77,1/21/2022,2022-B09 ,J95,0.0,0.1,7,18.7,J95,True,0.1
78,1/21/2022,2022-B09 ,204,0.0,0.1,8,,204,True,0.1
79,1/21/2022,2022-B09 ,J95,0.3,0.2,9,18.3,J95,True,0.36055512754639896
80,1/21/2022,2022-B09 ,J95,0.0,0.1,10,18.8,J95,True,0.1
81,1/21/2022,2022-B09 ,204,0.0,0.1,11,,204,True,0.1
82,1/21/2022,2022-B09 ,J95,0.0,0.0,12,18.2,J95,True,0.0
83,1/21/2022,2022-B09 ,204,0.2,0.1,13,18.7,204,True,0.223606797749979
84,1/21/2022,2022-B09 ,J57,0.3,0.7,14,18.3,J57,True,0.7615773105863908
85,1/21/2022,2022-B09 ,Z33,0.2,0.3,15,18.5,Z33,True,0.36055512754639896
86,1/21/2022,2022-B09 ,J57,0.3,0.5,16,18.5,J57,True,0.58309518948453
87,1/21/2022,2022-B09 ,Z33,0.1,0.1,17,18.6,Z33,True,0.14142135623730953
88,1/21/2022,2022-B09 ,G02,0.4,0.1,18,18.6,G02,True,0.4123105625617661
89,1/21/2022,2022-B09 ,Z33,0.8,0.3,19,18.6,Z33,True,0.8544003745317532
90,1/21/2022,2022-B09 ,J57,0.0,0.1,20,18.3,J57,True,0.1
91,1/21/2022,2022-B09 ,J69,0.7,0.4,21,18.5,J69,True,0.8062257748298549
92,1/21/2022,2022-B09 ,J69,0.2,0.1,22,18.6,J69,True,0.223606797749979
93,1/21/2022,2022-B09 ,L06,0.3,0.3,24,18.2,L06,True,0.4242640687119285
94,1/21/2022,2022-B09 ,L06,0.2,0.3,25,18.0,L06,True,0.36055512754639896
95,1/21/2022,2022-B09 ,L06,0.0,0.0,26,18.4,L06,True,0.0
96,1/21/2022,2022-B09 ,Z80,0.6,0.2,27,18.4,Z80,True,0.6324555320336759
97,1/21/2022,2022-B09 ,Z80,0.5,0.1,28,,Z80,True,0.5099019513592785
98,1/21/2022,2022-B09 ,654,0.1,0.0,29,19.0,654,True,0.1
99,1/21/2022,2022-B09 ,654,0.0,0.0,30,18.8,654,True,0.0
100,1/21/2022,2022-B09 ,654,0.1,0.0,31,18.8,654,True,0.1
101,1/21/2022,2022-B09 ,G14,0.7,0.9,32,18.5,G14,True,1.140175425099138
102,1/21/2022,2022-B09 ,Z99,0.2,0.1,33,18.6,Z99,True,0.223606797749979
103,1/21/2022,2022-B09 ,Z99,0.1,0.0,34,18.6,Z99,True,0.1
104,1/21/2022,2022-B09 ,G14,0.5,0.1,35,19.4,G14,True,0.5099019513592785
105,1/21/2022,2022-B09 ,Z99,0.2,0.0,36,18.8,Z99,True,0.2
106,1/21/2022,2022-B09 ,G15,0.6,0.4,37,19.2,G15,True,0.7211102550927979
107,1/21/2022,2022-B09 ,J95,0.2,0.1,38,19.0,J95,True,0.223606797749979
108,1/21/2022,2022-B09 ,G14,0.4,0.5,39,17.1,G14,True,0.6403124237432849
109,1/21/2022,2022-B09 ,J95,0.0,0.1,40,18.8,J95,True,0.1
110,1/21/2022,2022-B09 ,J95,0.1,0.1,41,18.6,J95,True,0.14142135623730953
111,1/21/2022,2022-B09 ,G15,0.9,0.7,42,,G15,True,1.140175425099138
112,1/21/2022,2022-B09 ,J95,0.1,0.1,43,18.8,J95,True,0.14142135623730953
113,1/21/2022,2022-B09 ,G15,0.0,0.2,44,19.0,G15,True,0.2
114,1/21/2022,2022-B09 ,203,0.5,0.0,45,19.2,203,True,0.5
115,1/21/2022,2022-B09 ,203,0.2,0.1,47,18.6,203,True,0.223606797749979
116,1/21/2022,2022-B09 ,104,0.1,0.3,49,18.4,104,True,0.31622776601683794
117,1/21/2022,2022-B09 ,104,0.4,0.3,50,18.5,104,True,0.5
118,1/21/2022,2022-B09 ,958,1.0,1.3,52,18.8,958,True,1.6401219466856727
119,1/21/2022,2022-B09 ,958,0.4,0.6,53,18.9,958,True,0.7211102550927979
120,1/21/2022,2022-B09 ,H36,0.3,0.3,55,19.5,H36,True,0.4242640687119285
121,1/21/2022,2022-B09 ,H36,0.2,0.1,56,19.1,H36,True,0.223606797749979
122,1/21/2022,2022-B09 ,734,0.7,0.7,58,18.8,734,True,0.9899494936611665
123,1/21/2022,2022-B09 ,734,0.6,0.7,59,19.0,734,True,0.9219544457292886
124,1/21/2022,2022-B09 ,734,0.1,0.5,60,18.9,734,True,0.5099019513592785
125,1/21/2022,2022-B09 ,734,0.0,0.1,61,19.0,734,True,0.1
126,1/21/2022,2022-B09 ,734,0.3,0.1,62,18.8,734,True,0.31622776601683794
127,1/21/2022,2022-B09 ,858,0.0,0.2,64,18.4,858,True,0.2
128,1/21/2022,2022-B09 ,858,0.4,0.1,65,18.6,858,True,0.4123105625617661
129,1/21/2022,2022-B09 ,G96,0.1,0.4,67,18.9,G96,True,0.4123105625617661
130,1/25/2022,2022-B34 ,K88,0.5,0.3,1,19.0,K88,True,0.58309518948453
131,1/25/2022,2022-B34 ,K88,0.2,0.2,2,18.8,K88,True,0.28284271247461906
132,1/25/2022,2022-B34 ,K88,0.5,0.1,3,18.9,K88,True,0.5099019513592785
133,1/25/2022,2022-B34 ,K88,0.5,1.2,4,19.0,K88,True,1.3
134,1/25/2022,2022-B34 ,B49,0.6,0.7,5,19.5,B49,True,0.9219544457292886
135,1/25/2022,2022-B34 ,K88,0.6,0.3,6,19.1,K88,True,0.6708203932499369
136,1/25/2022,2022-B34 ,K88,0.1,0.4,7,18.9,K88,True,0.4123105625617661
137,1/25/2022,2022-B34 ,K88,0.0,0.1,8,19.2,K88,True,0.1
138,1/25/2022,2022-B34 ,B49,1.8,0.3,9,18.9,B49,True,1.8248287590894658
139,1/25/2022,2022-B34 ,K88,0.2,0.0,10,18.8,K88,True,0.2
140,1/25/2022,2022-B34 ,K88,0.8,0.7,11,19.0,K88,True,1.063014581273465
141,1/25/2022,2022-B34 ,K88,0.7,0.8,12,19.0,K88,True,1.063014581273465
142,1/25/2022,2022-B34 ,K63,0.2,0.3,13,19.6,K63,True,0.36055512754639896
143,1/25/2022,2022-B34 ,K63,0.2,0.5,14,19.3,K63,True,0.5385164807134505
144,1/25/2022,2022-B34 ,104,0.0,0.2,15,19.1,104,True,0.2
145,1/25/2022,2022-B34 ,K88,0.2,0.2,16,19.1,K88,True,0.28284271247461906
146,1/25/2022,2022-B34 ,K88,0.3,0.5,17,19.1,K88,True,0.58309518948453
147,1/25/2022,2022-B34 ,104,0.1,0.0,18,19.1,104,True,0.1
148,1/25/2022,2022-B34 ,B49,1.0,1.8,19,19.4,B49,True,2.0591260281974
149,1/25/2022,2022-B34 ,B49,0.4,0.8,20,,B49,True,0.894427190999916
150,1/25/2022,2022-B34 ,104,0.0,0.4,21,19.3,104,True,0.4
151,1/25/2022,2022-B34 ,B49,0.1,0.8,22,19.4,B49,True,0.806225774829855
152,1/25/2022,2022-B34 ,I93,0.3,0.1,23,19.7,I93,True,0.31622776601683794
153,1/25/2022,2022-B34 ,B49,0.1,0.5,24,,B49,True,0.5099019513592785
154,1/25/2022,2022-B34 ,B49,0.3,0.3,25,,B49,True,0.4242640687119285
155,1/25/2022,2022-B34 ,I93,0.1,0.1,26,19.9,I93,True,0.14142135623730953
156,1/25/2022,2022-B34 ,B49,0.0,0.3,27,,B49,True,0.3
157,1/25/2022,2022-B34 ,I93,0.1,0.2,28,19.3,I93,True,0.223606797749979
158,1/25/2022,2022-B34 ,958,0.1,0.1,29,19.3,958,True,0.14142135623730953
159,1/25/2022,2022-B34 ,958,0.4,0.2,30,19.1,958,True,0.447213595499958
160,1/25/2022,2022-B34 ,K88,0.2,0.1,31,19.1,K88,True,0.223606797749979
161,1/25/2022,2022-B34 ,958,0.0,0.2,32,19.0,958,True,0.2
162,1/25/2022,2022-B34 ,K88,0.2,0.1,33,19.1,K88,True,0.223606797749979
163,1/25/2022,2022-B34 ,K88,0.2,0.1,34,19.1,K88,True,0.223606797749979
164,1/25/2022,2022-B34 ,L01,0.3,0.7,35,19.2,L01,True,0.7615773105863908
165,1/25/2022,2022-B34 ,L01,0.2,0.6,36,19.4,L01,True,0.6324555320336759
166,1/25/2022,2022-B34 ,L01,0.3,0.4,37,19.0,L01,True,0.5
167,1/25/2022,2022-B34 ,L01,0.3,0.1,38,18.8,L01,True,0.31622776601683794
168,1/25/2022,2022-B34 ,L01,0.2,0.2,39,18.9,L01,True,0.28284271247461906
169,1/25/2022,2022-B34 ,L01,0.1,0.6,40,19.3,L01,True,0.6082762530298219
170,1/25/2022,2022-B34 ,L01,0.0,0.4,41,19.4,L01,True,0.4
171,1/25/2022,2022-B34 ,L01,0.1,0.1,42,19.0,L01,True,0.14142135623730953
172,1/25/2022,2022-B34 ,W34,1.7,1.2,43,19.5,W34,True,2.080865204668481
173,1/25/2022,2022-B34 ,W34,1.9,1.3,44,19.2,W34,True,2.3021728866442674
174,1/25/2022,2022-B34 ,W34,1.1,0.2,45,19.8,W34,True,1.118033988749895
175,1/25/2022,2022-B34 ,W34,0.1,0.2,46,19.2,W34,True,0.223606797749979
176,1/25/2022,2022-B34 ,W34,0.2,0.1,47,19.4,W34,True,0.223606797749979
177,1/25/2022,2022-B34 ,W34,0.1,0.0,48,19.6,W34,True,0.1
178,1/25/2022,2022-B34 ,858,0.0,0.0,49,19.3,858,True,0.0
179,1/25/2022,2022-B34 ,858,0.1,0.1,50,19.1,858,True,0.14142135623730953
180,1/25/2022,2022-B34 ,858,0.1,0.0,51,19.4,858,True,0.1
181,1/25/2022,2022-B34 ,U52,0.6,0.9,52,18.6,U52,True,1.0816653826391966
182,1/25/2022,2022-B34 ,U52,0.5,0.4,53,19.7,U52,True,0.6403124237432849
183,1/25/2022,2022-B34 ,U52,2.4,1.0,54,18.7,U52,True,2.6
184,1/25/2022,2022-B34 ,U52,0.1,0.4,55,20.1,U52,True,0.4123105625617661
185,1/25/2022,2022-B34 ,U52,0.2,0.3,56,18.8,U52,True,0.36055512754639896
186,1/25/2022,2022-B34 ,U52,0.2,0.4,57,20.2,U52,True,0.447213595499958
187,1/25/2022,2022-B34 ,654,0.1,0.0,58,19.1,654,True,0.1
188,1/25/2022,2022-B34 ,U52,0.6,0.3,59,19.1,U52,True,0.6708203932499369
189,1/25/2022,2022-B34 ,U52,0.3,0.1,60,20.3,U52,True,0.31622776601683794
190,1/25/2022,2022-B34 ,U52,0.6,0.4,61,19.5,U52,True,0.7211102550927979
191,1/25/2022,2022-B34 ,654,0.0,0.0,62,19.4,654,True,0.0
192,1/25/2022,2022-B34 ,654,0.1,0.0,63,19.1,654,True,0.1
193,1/25/2022,2022-B34 ,204,0.1,0.2,64,,204,True,0.223606797749979
194,1/25/2022,2022-B34 ,204,0.0,0.2,65,,204,True,0.2
195,1/25/2022,2022-B34 ,204,0.2,0.0,66,19.1,204,True,0.2
196,1/25/2022,2022-B34 ,C95,0.4,0.1,67,18.7,C95,True,0.4123105625617661
197,1/25/2022,2022-B34 ,C95,0.1,0.3,68,19.3,C95,True,0.31622776601683794
198,1/25/2022,2022-B34 ,C95,0.1,0.2,69,18.5,C95,True,0.223606797749979
199,1/25/2022,2022-B34 ,B49,0.2,0.5,70,18.9,B49,True,0.5385164807134505
200,1/25/2022,2022-B34 ,B49,0.7,0.6,71,18.6,B49,True,0.9219544457292886
201,1/25/2022,2022-B35 ,G96,0.1,0.0,1,20.9,G96,True,0.1
202,1/25/2022,2022-B35 ,G96,0.1,0.0,2,21.7,G96,True,0.1
203,1/25/2022,2022-B35 ,F52,0.1,0.0,3,20.4,F52,True,0.1
204,1/25/2022,2022-B35 ,F52,0.0,0.0,4,20.64,F52,True,0.0
205,1/25/2022,2022-B35 ,F52,0.0,0.1,5,20.5,F52,True,0.1
206,1/25/2022,2022-B35 ,F52,0.0,0.1,6,20.63,F52,True,0.1
207,1/25/2022,2022-B35 ,F52,0.0,0.0,7,20.24,F52,True,0.0
208,1/25/2022,2022-B35 ,F52,0.0,0.0,8,20.2,F52,True,0.0
209,1/25/2022,2022-B35 ,P93,0.3,0.3,9,19.8,P93,True,0.4242640687119285
210,1/25/2022,2022-B35 ,P93,0.1,0.2,10,20.0,P93,True,0.223606797749979
211,1/25/2022,2022-B35 ,P93,0.2,0.4,11,20.0,P93,True,0.447213595499958
212,1/25/2022,2022-B35 ,P93,0.3,0.1,12,20.2,P93,True,0.31622776601683794
213,1/25/2022,2022-B35 ,L01,0.5,0.1,13,20.3,L01,True,0.5099019513592785
214,1/25/2022,2022-B35 ,L01,0.4,1.0,14,20.1,L01,True,1.077032961426901
215,1/25/2022,2022-B35 ,L01,0.3,1.1,15,20.4,L01,True,1.140175425099138
216,1/25/2022,2022-B35 ,L01,0.5,0.1,16,20.5,L01,True,0.5099019513592785
217,1/25/2022,2022-B35 ,L01,0.4,0.3,17,20.3,L01,True,0.5
218,1/25/2022,2022-B35 ,691,0.5,0.1,18,20.6,691,True,0.5099019513592785
219,1/25/2022,2022-B35 ,691,0.2,0.3,19,,691,True,0.36055512754639896
220,1/25/2022,2022-B35 ,691,0.0,0.0,20,,691,True,0.0
221,1/25/2022,2022-B35 ,F52,0.0,0.0,21,20.09,F52,True,0.0
222,1/25/2022,2022-B35 ,734,0.8,0.4,23,20.0,734,True,0.894427190999916
223,1/25/2022,2022-B35 ,734,0.1,0.1,24,20.7,734,True,0.14142135623730953
224,1/25/2022,2022-B35 ,734,0.3,0.1,25,20.2,734,True,0.31622776601683794
225,1/25/2022,2022-B35 ,654,0.1,0.0,26,20.5,654,True,0.1
226,1/25/2022,2022-B35 ,654,0.1,0.3,27,20.4,654,True,0.31622776601683794
227,1/25/2022,2022-B35 ,654,0.1,0.2,28,20.7,654,True,0.223606797749979
228,1/25/2022,2022-B35 ,858,0.0,0.2,29,19.8,858,True,0.2
229,1/25/2022,2022-B35 ,858,0.4,0.2,30,19.5,858,True,0.447213595499958
230,1/25/2022,2022-B35 ,I93,0.0,0.0,31,,I93,True,0.0
231,1/25/2022,2022-B35 ,I93,0.0,0.8,32,19.8,I93,True,0.8
232,1/25/2022,2022-B35 ,L80,0.8,1.0,33,19.6,L80,True,1.2806248474865698
233,1/25/2022,2022-B35 ,I93,0.3,0.0,34,19.3,I93,True,0.3
234,1/25/2022,2022-B35 ,L80,0.0,1.2,35,19.4,L80,True,1.2
235,1/25/2022,2022-B35 ,204,0.1,0.2,36,,204,True,0.223606797749979
236,1/25/2022,2022-B35 ,204,0.6,0.3,37,20.5,204,True,0.6708203932499369
237,1/25/2022,2022-B35 ,Z99,0.9,0.1,38,20.1,Z99,True,0.9055385138137417
238,1/25/2022,2022-B35 ,Z99,0.6,0.1,39,20.0,Z99,True,0.6082762530298219
239,1/25/2022,2022-B35 ,291,0.1,0.2,40,20.4,291,True,0.223606797749979
240,1/25/2022,2022-B35 ,291,0.1,0.0,41,20.4,291,True,0.1
241,1/25/2022,2022-B35 ,291,0.1,0.1,42,20.8,291,True,0.14142135623730953
242,1/25/2022,2022-B35 ,Z84,0.7,0.6,43,19.4,Z84,True,0.9219544457292886
243,1/25/2022,2022-B35 ,Z84,0.5,0.2,45,19.6,Z84,True,0.5385164807134505
244,1/25/2022,2022-B35 ,Z84,0.2,0.6,46,19.2,Z84,True,0.6324555320336759
245,1/25/2022,2022-B35 ,Z84,0.1,0.3,47,20.1,Z84,True,0.31622776601683794
246,1/25/2022,2022-B35 ,587,0.8,0.3,49,19.9,587,True,0.8544003745317532
247,1/25/2022,2022-B35 ,L06,0.0,0.7,51,19.9,L06,True,0.7
248,1/25/2022,2022-B35 ,L06,0.3,0.7,52,20.1,L06,True,0.7615773105863908
249,1/25/2022,2022-B35 ,L06,0.1,0.5,53,20.4,L06,True,0.5099019513592785
250,1/25/2022,2022-B35 ,H36,0.2,0.5,55,20.4,H36,True,0.5385164807134505
251,1/25/2022,2022-B35 ,H36,0.3,0.4,56,21.1,H36,True,0.5
252,1/25/2022,2022-B35 ,H36,0.5,0.3,57,20.5,H36,True,0.58309518948453
253,1/25/2022,2022-B35 ,A77,1.3,0.8,59,20.3,A77,True,1.5264337522473748
254,1/25/2022,2022-B35 ,104,0.2,0.1,61,19.7,104,True,0.223606797749979
255,1/25/2022,2022-B35 ,104,0.1,0.1,62,20.2,104,True,0.14142135623730953
256,1/25/2022,2022-B35 ,C95,0.4,0.1,64,,C95,True,0.4123105625617661
257,1/26/2022,2022-B39 ,F52,0.1,0.1,1,20.29,F52,True,0.14142135623730953
258,1/26/2022,2022-B39 ,F52,0.1,0.0,2,20.28,F52,True,0.1
259,1/26/2022,2022-B39 ,F52,0.1,0.0,3,,F52,True,0.1
260,1/26/2022,2022-B39 ,F52,0.1,0.1,4,20.15,F52,True,0.14142135623730953
261,1/26/2022,2022-B39 ,F52,0.0,0.1,5,20.18,F52,True,0.1
262,1/26/2022,2022-B39 ,F52,0.1,0.3,6,20.13,F52,True,0.31622776601683794
263,1/26/2022,2022-B39 ,F52,0.1,0.2,7,20.11,F52,True,0.223606797749979
264,1/26/2022,2022-B39 ,L01,0.4,0.3,8,20.2,L01,True,0.5
265,1/26/2022,2022-B39 ,L01,0.0,0.3,9,20.1,L01,True,0.3
266,1/26/2022,2022-B39 ,L01,0.3,0.2,10,20.0,L01,True,0.36055512754639896
267,1/26/2022,2022-B39 ,C95,0.6,0.3,11,19.0,C95,True,0.6708203932499369
268,1/26/2022,2022-B39 ,L01,0.6,0.1,12,19.9,L01,True,0.6082762530298219
269,1/26/2022,2022-B39 ,L01,0.0,0.6,13,20.2,L01,True,0.6
270,1/26/2022,2022-B39 ,I93,0.4,0.1,14,20.2,I93,True,0.4123105625617661
271,1/26/2022,2022-B39 ,C95,0.4,0.3,15,19.5,C95,True,0.5
272,1/26/2022,2022-B39 ,I93,0.2,0.1,16,19.9,I93,True,0.223606797749979
273,1/26/2022,2022-B39 ,I93,0.0,0.3,17,19.9,I93,True,0.3
274,1/26/2022,2022-B39 ,958,0.3,1.0,18,,958,True,1.044030650891055
275,1/26/2022,2022-B39 ,958,0.1,0.2,19,21.0,958,True,0.223606797749979
276,1/26/2022,2022-B39 ,104,0.0,0.3,20,19.8,104,True,0.3
277,1/26/2022,2022-B39 ,104,0.3,0.1,21,20.1,104,True,0.31622776601683794
278,1/26/2022,2022-B39 ,958,0.1,0.3,22,21.1,958,True,0.31622776601683794
279,1/26/2022,2022-B39 ,104,0.3,0.3,23,19.8,104,True,0.4242640687119285
280,1/26/2022,2022-B39 ,858,0.1,0.1,24,20.1,858,True,0.14142135623730953
281,1/26/2022,2022-B39 ,858,0.1,0.2,25,20.0,858,True,0.223606797749979
282,1/26/2022,2022-B39 ,858,0.1,0.1,26,20.0,858,True,0.14142135623730953
283,1/26/2022,2022-B39 ,691,1.2,0.5,27,,691,True,1.3
284,1/26/2022,2022-B39 ,691,0.4,0.2,28,20.5,691,True,0.447213595499958
285,1/26/2022,2022-B39 ,691,0.5,0.2,29,20.1,691,True,0.5385164807134505
286,1/26/2022,2022-B39 ,654,0.1,0.2,30,20.4,654,True,0.223606797749979
287,1/26/2022,2022-B39 ,654,0.0,0.0,31,20.4,654,True,0.0
288,1/26/2022,2022-B39 ,654,0.3,0.2,32,20.4,654,True,0.36055512754639896
289,1/26/2022,2022-B39 ,654,0.1,0.3,33,20.4,654,True,0.31622776601683794
290,1/26/2022,2022-B39 ,204,0.1,0.1,34,20.4,204,True,0.14142135623730953
291,1/26/2022,2022-B39 ,204,0.1,0.1,35,,204,True,0.14142135623730953
292,1/26/2022,2022-B52 ,G96,0.7,0.3,1,20.4,G96,True,0.7615773105863908
293,1/26/2022,2022-B52 ,G96,0.5,0.3,2,21.3,G96,True,0.58309518948453
294,1/26/2022,2022-B52 ,G96,0.2,0.2,3,19.6,G96,True,0.28284271247461906
295,1/26/2022,2022-B52 ,G96,1.8,0.2,4,20.2,G96,True,1.8110770276274835
296,1/26/2022,2022-B52 ,I52,0.2,0.4,5,20.5,I52,True,0.447213595499958
297,1/26/2022,2022-B52 ,I52,0.4,0.4,7,19.8,I52,True,0.5656854249492381
298,1/26/2022,2022-B52 ,I52,0.9,0.3,8,21.0,I52,True,0.9486832980505138
299,1/26/2022,2022-B52 ,I52,0.2,0.2,9,20.8,I52,True,0.28284271247461906
300,1/26/2022,2022-B52 ,I52,0.2,0.3,10,20.7,I52,True,0.36055512754639896
301,1/26/2022,2022-B52 ,I52,0.3,0.2,11,20.3,I52,True,0.36055512754639896
302,1/26/2022,2022-B52 ,I52,0.3,0.2,13,20.5,I52,True,0.36055512754639896
303,1/26/2022,2022-B52 ,I52,0.1,0.2,14,20.7,I52,True,0.223606797749979
304,1/26/2022,2022-B52 ,654,0.1,0.1,15,20.8,654,True,0.14142135623730953
305,1/26/2022,2022-B52 ,654,0.1,0.0,16,20.7,654,True,0.1
306,1/26/2022,2022-B52 ,654,0.0,0.1,17,21.0,654,True,0.1
